State,n_sites,n_cities,n_obs,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Max_AQI
Kentucky,8,6,3674,25.13282525857376,42.918072945019055,18.563690800217746,3.179738562091503,47.13799673380512
Michigan,2,2,2047,31.851489985344408,40.02296042989741,17.968734733756715,6.469956033219345,47.05520273571079
Utah,3,3,2163,23.485899214054555,42.13915857605178,1.1502542764678687,5.4160887656033285,46.92649098474341
Missouri,8,7,4947,29.166363452597533,41.906610066707096,18.31655548817465,7.41317970487164,46.35556903173641
North Carolina,3,3,6067,21.981209823636064,44.35932091643316,8.622877863853635,5.67147806004619,46.29718147354541
Arizona,5,3,17045,36.0425344675858,38.73957172191258,4.203168084482253,9.165541928290594,46.1667937811675
Colorado,4,3,8778,35.938368648894965,34.47208931419458,10.603782182729551,7.73024740622506,45.94246981089086
Tennessee,3,1,1462,3.548563611491108,45.35841313269494,2.3276333789329686,4.878684030157642,45.39192886456908
Country Of Mexico,3,3,2384,37.96057046979866,31.928691275167786,6.571728187919463,17.69869911875787,44.87667785234899
Nevada,2,2,2419,23.944191814799503,40.339396444811904,1.111616370400992,3.658526490066225,44.49152542372882
Indiana,2,1,3483,24.05684754521964,41.58570198105082,14.659201837496411,5.39500143636886,44.35199540625897
Pennsylvania,18,18,47235,23.805186831798455,39.63584206626442,15.794029850746268,3.9855569673867004,43.871176034720015
New Mexico,1,1,1787,24.462786793508673,41.33240067151651,1.179071068830442,3.4798432250839864,43.76440962506995
New Jersey,3,2,6663,31.687378057931863,34.15218370103557,11.137325529040973,6.4407568704009615,43.58427134924208
Oklahoma,6,6,8627,14.889185116494726,41.03489046018315,3.7480004636606004,2.4869413813116656,41.85614929871334
District Of Columbia,2,1,6433,30.593346805533965,33.778796828851235,12.884346339188559,11.602394650909657,41.729519664231304
Wyoming,4,2,3264,9.797487745098039,41.450674019607845,1.8223039215686274,1.4860472247776755,41.70343137254902
New York,7,4,16262,31.072131349157544,31.247017587012667,14.465471651703357,5.870033214417518,41.33553683433772
Illinois,5,5,10903,29.0209575346235,32.21328992020545,14.24213519214895,6.6650155934690885,41.19430431991195
Virginia,8,8,9109,20.2662202217587,38.0543418596992,9.856295971017675,5.359833095421105,41.11669777143484
California,36,35,140549,23.980181289087792,35.32286960419498,3.6685782182726308,7.414687228620646,40.439892848757374
Maryland,3,3,5889,19.778230599422653,36.867210052640516,7.061979962642214,4.369735054347826,39.73577857021566
Texas,11,8,30133,23.56522749145455,35.82862642285866,4.73706567550526,4.455070731221359,39.517273421166166
Connecticut,4,4,7486,18.45431472081218,37.14800961795351,3.2213465134918513,3.586395830549245,39.402751803366286
Delaware,1,1,909,21.557755775577558,35.41034103410341,2.8283828382838285,3.8393839383938393,39.01210121012101
Louisiana,2,2,5970,26.73969849246231,34.015075376884425,11.314907872696818,6.311274920422181,38.91876046901172
Kansas,2,2,7874,21.578359156718314,34.36487172974346,9.392176784353568,6.541608436031,38.759080518161035
Rhode Island,1,1,1582,14.368520859671301,37.63653603034134,1.6675094816687737,3.162025316455696,38.12958280657396
Ohio,3,4,3813,21.417519013899817,32.7673747705219,14.717151848937844,3.9349252164786144,37.9982953055337
Alabama,1,1,782,21.228900255754475,36.831202046035806,7.005115089514066,3.8516624040920715,37.785166240409204
South Carolina,2,2,1632,4.935049019607843,37.25796568627451,4.764705882352941,1.5980392156862746,37.400735294117645
Florida,2,2,6472,16.38828800988875,35.931396786155744,2.870982694684796,5.927368258383558,36.6906674907293
Georgia,1,1,1931,24.13982392542724,34.488348006214395,1.7944070429829104,5.273056994818653,36.615743138270325
Idaho,1,1,458,23.336244541484717,34.956331877729255,0.8231441048034934,2.8755458515283845,36.419213973799124
New Hampshire,2,2,2324,14.660068846815834,34.5447504302926,7.647590361445783,5.073181231166595,36.07185886402754
Arkansas,1,1,3376,21.058649289099527,34.36315165876777,3.4112855450236967,6.0413210900473935,35.735189573459714
Minnesota,1,1,915,15.812021857923497,33.7672131147541,1.1475409836065573,3.4561797752808987,34.787978142076504
South Dakota,2,2,2079,11.068302068302069,34.32515632515633,0.67003367003367,2.3866923818707813,34.70755170755171
Iowa,2,2,4588,14.66891891891892,33.76830863121186,1.4601133391455972,3.131051024858264,34.20989537925022
Massachusetts,1,1,5235,29.313658070678127,25.663228271251192,7.641642788920726,5.143867023309133,34.05539637058261
Wisconsin,1,1,379,26.16622691292876,27.321899736147756,8.279683377308707,5.24802110817942,33.54089709762533
North Dakota,1,1,2755,12.426134301270418,29.978947368421053,0.41234119782214157,2.053357531760436,30.59927404718693
Washington,1,1,241,21.717842323651453,27.70539419087137,1.946058091286307,2.7302904564315353,30.589211618257263
Maine,2,2,5911,11.280663170360345,28.072238199966165,2.986296734901032,3.087199458178124,29.153611909998308
Oregon,1,1,2949,17.2441505595117,25.169888097660223,2.0352661919294674,5.323160393353679,27.788063750423873
Alaska,1,1,494,19.58097165991903,17.71255060728745,14.506072874493928,6.52834008097166,27.477732793522268
Hawaii,1,1,1378,8.49056603773585,26.28519593613933,2.264876632801161,4.581277213352685,26.338534107402033
