Year,NO2 AQI,O3 AQI,SO2 AQI,CO AQI,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
2000,30.969950868573434,35.82084576241446,14.231838919108615,9.54711432960281,17.451970508905074,0.02429094990349184,3.6351292291191433,0.5555633878531321
2001,31.308448375999642,37.64048608318814,12.834249206987446,8.79239295610977,17.59880460742528,0.02538972429969173,3.1206422536523255,0.5066202631684761
2002,29.25175430997141,39.308152126830116,10.930304080395045,8.430007365365451,16.382738093115595,0.02670093160356926,2.7199912915980824,0.4993656875162436
2003,28.341615484831564,36.55597431602457,11.315047459519821,8.236583663020712,15.880654210357342,0.025495487204541225,2.8564105718639494,0.49007397544047393
2004,26.960692285127603,34.62638114794172,11.204947687493888,7.419478677621283,14.997074154590788,0.024869419673413513,2.845422071526352,0.4464826714090154
2005,27.278672604102514,36.896963380548584,11.240703017670189,6.845581615730869,14.95327107172296,0.025708627315363115,2.9048774394097303,0.4129225875929698
2006,26.94783368557958,35.872886522516666,10.01320923427085,6.9893911064141125,14.546301057287433,0.025802659181433915,2.607096173020647,0.4150070430214599
2007,24.81908722775528,36.29838386049396,8.919338951515815,6.0617928315935465,13.22709664215096,0.026351448700643296,2.330678206057787,0.3748476840167572
2008,23.479904239331773,35.2457099919617,7.230192569810925,5.387577791762814,12.258077159700138,0.026049039888628712,1.8942723627983782,0.33256094516478524
2009,21.686546575787084,33.09467299578059,5.515092502434275,5.26750700280112,11.512138291666668,0.025350975839824732,1.5695725446182245,0.32867553953667644
2010,21.8544910925626,34.61438478468502,4.399318965159254,5.108032895829872,11.420403881898592,0.02659240837174536,1.2977092606930776,0.3226368889996262
2011,21.290588359564804,34.23823104820253,4.246839900003521,4.734672472147793,11.280224751065104,0.026592258805441124,1.2181751162576435,0.30118679259239695
2012,20.53249222260629,35.86322156930522,3.3126685101970272,4.5053979238754325,10.719246023401313,0.02744723404770135,0.9346301271834313,0.2885990542890886
2013,19.77792066475418,35.956523889603325,2.968971543509084,4.206087988918937,10.463969222079335,0.026659350946901,0.8416447453534255,0.2689701861679911
2014,19.380778178630433,36.93467412926936,3.0145149870191172,4.17443822120251,9.979436924592871,0.0264612341279207,0.8560933863076975,0.2681634186250379
2015,18.547431920027577,37.24781109962082,2.4281454670803173,4.295556475539916,9.530155757152706,0.026536150838791222,0.725857647035505,0.276044230041365
2016,20.262132604237866,33.70369104579631,2.018284347231716,4.501452743120834,10.214003330827067,0.026342447539302802,0.6599412540157211,0.28928763371496924
